time,paid_in,strategy,bitcoin
2020-12-06,1000.0,978.0,1000.0
2020-12-13,1000.0,939.0,990.0
2020-12-20,1000.0,1009.0,1211.0
2020-12-27,1000.0,1187.0,1357.0
2021-01-03,1100.0,1478.0,1817.0
2021-01-10,1100.0,1571.0,2100.0
2021-01-17,1100.0,1797.0,1973.0
2021-01-24,1100.0,2057.0,1776.0
2021-01-31,1100.0,2444.0,1822.0
2021-02-07,1200.0,3751.0,2251.0
2021-02-14,1200.0,3541.0,2819.0
2021-02-21,1200.0,4115.0,3332.0
2021-02-28,1200.0,3628.0,2619.0
2021-03-07,1300.0,4115.0,3061.0
2021-03-14,1300.0,5227.0,3541.0
2021-03-21,1300.0,6195.0,3444.0
2021-03-28,1300.0,7024.0,3349.0
2021-04-04,1400.0,11109.0,3594.0
2021-04-11,1400.0,11137.0,3705.0
2021-04-18,1400.0,15968.0,3467.0
2021-04-25,1400.0,13260.0,3030.0
2021-05-02,1500.0,16732.0,3591.0
2021-05-09,1500.0,22188.0,3697.0
2021-05-16,1500.0,22263.0,2947.0
2021-05-23,1500.0,15700.0,2200.0
2021-05-30,1500.0,15700.0,2262.0
2021-06-06,1600.0,15800.0,2370.0
2021-06-13,1600.0,15800.0,2583.0
2021-06-20,1600.0,15800.0,2357.0
2021-06-27,1600.0,15800.0,2297.0
2021-07-04,1700.0,15900.0,2441.0
2021-07-11,1700.0,15900.0,2370.0
2021-07-18,1700.0,15900.0,2198.0
2021-07-25,1700.0,15900.0,2447.0
2021-08-01,1800.0,16000.0,2856.0
2021-08-08,1800.0,16000.0,3139.0
2021-08-15,1800.0,16000.0,3367.0
2021-08-22,1800.0,16000.0,3529.0
2021-08-29,1800.0,16000.0,3496.0
2021-09-05,1900.0,16100.0,3816.0
2021-09-12,1900.0,16100.0,3393.0
2021-09-19,1900.0,16100.0,3483.0
2021-09-26,1900.0,16100.0,3182.0
2021-10-03,2000.0,16200.0,3654.0
2021-10-10,2000.0,16200.0,4143.0
2021-10-17,2000.0,16200.0,4664.0
2021-10-24,2000.0,16200.0,4613.0
2021-10-31,2000.0,16200.0,4646.0
2021-11-07,2100.0,16300.0,4900.0
2021-11-14,2100.0,16300.0,5074.0
2021-11-21,2100.0,16300.0,4540.0
2021-11-28,2100.0,16300.0,4435.0
2021-12-05,2200.0,16400.0,3911.0
2021-12-12,2200.0,16400.0,3964.0
2021-12-19,2200.0,16400.0,3696.0
